code_insee,nom_commune,maire_prenom,maire_nom,date_naissance,age_au_1er_tour_2026,part_65_plus_2021,part_moins_20_2021,strate,mediane_niveau_vie_2021,mediane_strate_niveau_vie,ecart_niveau_vie_vs_strate,categorie_niveau_vie,phrase_niveau_vie,departement,departement_code
59024,Auberchicourt,Marie-Hélène,LEROY,09/07/1963,62.0,20.15,32.74,3500-4999 hab,19850.0,21515.0,-1665.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 19850 €, plus faible que la moyenne de la strate (21515 € pour la strate).",Nord,59
59025,Aubers,Alain,LECLERCQ,07/03/1965,61.0,22.03,34.25,500-1999 hab,29920.0,23000.0,6920.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 29920 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59026,Aubigny-Au-Bac,Marie-Madeleine,LEFEBVRE,09/11/1949,76.0,19.22,28.92,500-1999 hab,22220.0,23000.0,-780.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22220 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59027,Aubry-Du-Hainaut,Raymond,ZINGRAFF,25/03/1959,66.0,21.0,29.59,500-1999 hab,25190.0,23000.0,2190.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 25190 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59028,Auby,Christophe,CHARLES,22/03/1976,49.0,18.85,35.59,5000-9999 hab,18540.0,20460.0,-1920.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 18540 €, plus faible que la moyenne de la strate (20460 € pour la strate).",Nord,59
59029,Auchy-Lez-Orchies,Guy,SCHRYVE,04/05/1953,72.0,15.05,35.55,500-1999 hab,26860.0,23000.0,3860.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 26860 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59031,Audignies,Henry-Louis,BOURGOIS,22/09/1972,53.0,11.95,37.66,< 500 hab,26730.0,22370.0,4360.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 26730 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59032,Aulnoy-Lez-Valenciennes,Laurent,DEPAGNE,02/02/1969,57.0,18.5,28.14,5000-9999 hab,20010.0,20460.0,-450.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 20010 €, proche de la moyenne de la strate (20460 € pour la strate).",Nord,59
59033,Aulnoye-Aymeries,Bernard,BAUDOUX,23/07/1948,77.0,22.7,30.51,5000-9999 hab,17940.0,20460.0,-2520.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 17940 €, plus faible que la moyenne de la strate (20460 € pour la strate).",Nord,59
59034,Avelin,José,ROUCOU,25/07/1962,63.0,20.15,32.16,2000-3499 hab,29820.0,22735.0,7085.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 29820 €, plus élevé que la moyenne de la strate (22735 € pour la strate).",Nord,59
59035,Avesnelles,Antoine,BADIDI,31/07/1981,44.0,24.13,24.88,2000-3499 hab,20410.0,22735.0,-2325.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 20410 €, plus faible que la moyenne de la strate (22735 € pour la strate).",Nord,59
59036,Avesnes-Sur-Helpe,Sébastien,SEGUIN,27/03/1978,47.0,22.69,30.09,3500-4999 hab,15750.0,21515.0,-5765.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 15750 €, plus faible que la moyenne de la strate (21515 € pour la strate).",Nord,59
59037,Avesnes-Les-Aubert,Laurent,MAILLARD,08/09/1970,55.0,21.89,32.33,3500-4999 hab,19200.0,21515.0,-2315.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 19200 €, plus faible que la moyenne de la strate (21515 € pour la strate).",Nord,59
59038,Avesnes-Le-Sec,Claude,REGNIEZ,24/11/1960,65.0,17.16,31.58,500-1999 hab,22350.0,23000.0,-650.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22350 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59039,Awoingt,Eddy,DHERBECOURT,08/01/1973,53.0,16.96,36.08,500-1999 hab,25920.0,23000.0,2920.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 25920 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59041,Bachant,David,ZELANI,08/05/1967,58.0,19.02,31.31,2000-3499 hab,18880.0,22735.0,-3855.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 18880 €, plus faible que la moyenne de la strate (22735 € pour la strate).",Nord,59
59042,Bachy,Philippe,DELCOURT,19/04/1949,76.0,14.83,36.7,500-1999 hab,27800.0,23000.0,4800.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 27800 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59043,Bailleul,Antony,GAUTIER,19/11/1977,48.0,21.35,28.17,10 000-19 999 hab,23320.0,19710.0,3610.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 23320 €, plus élevé que la moyenne de la strate (19710 € pour la strate).",Nord,59
59044,Baisieux,Philippe,LIMOUSIN,05/10/1956,69.0,15.17,34.12,5000-9999 hab,26930.0,20460.0,6470.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 26930 €, plus élevé que la moyenne de la strate (20460 € pour la strate).",Nord,59
59045,Baives,Claude,GARY,12/08/1942,83.0,20.0,20.0,< 500 hab,19690.0,22370.0,-2680.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 19690 €, plus faible que la moyenne de la strate (22370 € pour la strate).",Nord,59
59046,Bambecque,Grégoire,FRANCKE,25/03/1962,63.0,11.26,38.74,500-1999 hab,22820.0,23000.0,-180.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22820 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59047,Banteux,Bernadette,GODET-MENTION,25/04/1962,63.0,21.28,40.43,< 500 hab,21280.0,22370.0,-1090.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 21280 €, plus faible que la moyenne de la strate (22370 € pour la strate).",Nord,59
59048,Bantigny,Yves,MARECAILLE,16/06/1948,77.0,21.93,35.69,< 500 hab,24400.0,22370.0,2030.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 24400 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59049,Bantouzelle,Sylviane,MAUR,04/11/1955,70.0,12.42,31.83,< 500 hab,21660.0,22370.0,-710.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 21660 €, proche de la moyenne de la strate (22370 € pour la strate).",Nord,59
59050,Bas-Lieu,Ghislain,FRANÇOIS,28/08/1961,64.0,24.43,35.92,< 500 hab,24480.0,22370.0,2110.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 24480 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59051,La Bassée,Frédéric,CAUDERLIER,13/01/1975,51.0,20.3,31.43,5000-9999 hab,20670.0,20460.0,210.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 20670 €, proche de la moyenne de la strate (20460 € pour la strate).",Nord,59
59052,Bauvin,Louis-Pascal,LEBARGY,22/12/1958,67.0,16.76,33.53,5000-9999 hab,22360.0,20460.0,1900.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 22360 €, plus élevé que la moyenne de la strate (20460 € pour la strate).",Nord,59
59053,Bavay,Francine,CAUCHETEUX,30/09/1953,72.0,24.37,29.87,2000-3499 hab,20510.0,22735.0,-2225.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 20510 €, plus faible que la moyenne de la strate (22735 € pour la strate).",Nord,59
59054,Bavinchove,Serge,LACONTE,22/10/1968,57.0,18.99,35.78,500-1999 hab,21980.0,23000.0,-1020.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 21980 €, plus faible que la moyenne de la strate (23000 € pour la strate).",Nord,59
59055,Bazuel,Jean-Félix,MACAREZ,29/07/1949,76.0,31.66,24.02,500-1999 hab,19950.0,23000.0,-3050.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 19950 €, plus faible que la moyenne de la strate (23000 € pour la strate).",Nord,59
59056,Beaucamps-Ligny,Catherine,LEFEBVRE,05/02/1961,65.0,17.72,31.51,500-1999 hab,30650.0,23000.0,7650.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 30650 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59057,Beaudignies,Dominique,FONTAINE,23/05/1956,69.0,23.55,26.81,500-1999 hab,24550.0,23000.0,1550.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 24550 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59058,Beaufort,Thérèse,PECHER,12/02/1954,72.0,19.18,27.53,500-1999 hab,23640.0,23000.0,640.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 23640 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59059,Beaumont-En-Cambrésis,Fabrice,BACCOUT,01/08/1963,62.0,19.61,34.7,< 500 hab,19950.0,22370.0,-2420.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 19950 €, plus faible que la moyenne de la strate (22370 € pour la strate).",Nord,59
59060,Beaurain,Denis,SEMAILLE,18/10/1975,50.0,19.57,34.78,< 500 hab,21050.0,22370.0,-1320.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 21050 €, plus faible que la moyenne de la strate (22370 € pour la strate).",Nord,59
59061,Beaurepaire-Sur-Sambre,Pierrick,FORET,16/11/1966,59.0,12.82,32.97,< 500 hab,19570.0,22370.0,-2800.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 19570 €, plus faible que la moyenne de la strate (22370 € pour la strate).",Nord,59
59062,Beaurieux,Emmanuel,DURSENT,13/04/1970,55.0,28.41,34.09,< 500 hab,22770.0,22370.0,400.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22770 €, proche de la moyenne de la strate (22370 € pour la strate).",Nord,59
59063,Beauvois-En-Cambrésis,Yannick,HERBET,22/09/1967,58.0,18.87,33.33,500-1999 hab,19610.0,23000.0,-3390.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 19610 €, plus faible que la moyenne de la strate (23000 € pour la strate).",Nord,59
59064,Bellaing,Michel,BLAISE,07/12/1951,74.0,26.9,26.68,500-1999 hab,22420.0,23000.0,-580.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22420 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59065,Bellignies,Danièle,DRUESNES,06/03/1959,67.0,19.77,35.92,500-1999 hab,23270.0,23000.0,270.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 23270 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59066,Bérelles,Orféo,RIGONI,15/06/1945,80.0,24.84,24.84,< 500 hab,23480.0,22370.0,1110.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 23480 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59067,Bergues,Paul-Loup,TRONQUOY,06/07/1987,38.0,28.34,24.74,3500-4999 hab,21670.0,21515.0,155.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 21670 €, proche de la moyenne de la strate (21515 € pour la strate).",Nord,59
59068,Berlaimont,Michel,HANNECART,19/03/1943,82.0,26.36,28.16,2000-3499 hab,20240.0,22735.0,-2495.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 20240 €, plus faible que la moyenne de la strate (22735 € pour la strate).",Nord,59
59069,Bermerain,Yvan,BRUNIAU,26/05/1957,68.0,17.05,30.87,500-1999 hab,23320.0,23000.0,320.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 23320 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59071,Bersée,Arnaud,HOTTIN,07/04/1971,54.0,19.83,29.73,2000-3499 hab,28630.0,22735.0,5895.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 28630 €, plus élevé que la moyenne de la strate (22735 € pour la strate).",Nord,59
59072,Bersillies,Marie-Paule,ROUSSELLE,02/06/1949,76.0,29.34,28.51,< 500 hab,26420.0,22370.0,4050.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 26420 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59073,Berthen,Régis,DONDEYNE,12/05/1957,68.0,17.63,35.59,500-1999 hab,23760.0,23000.0,760.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 23760 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59074,Bertry,Jacques,OLIVIER,16/10/1955,70.0,21.66,35.11,2000-3499 hab,20500.0,22735.0,-2235.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 20500 €, plus faible que la moyenne de la strate (22735 € pour la strate).",Nord,59
59075,Béthencourt,Paul,SOUPLY,20/11/1944,81.0,20.0,24.75,500-1999 hab,22110.0,23000.0,-890.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22110 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59076,Bettignies,Michel,LEFEBVRE,10/11/1937,88.0,22.98,31.72,< 500 hab,20020.0,22370.0,-2350.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 20020 €, plus faible que la moyenne de la strate (22370 € pour la strate).",Nord,59
59077,Bettrechies,Philippe,SARRAUTE,11/10/1961,64.0,16.39,43.03,< 500 hab,21650.0,22370.0,-720.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 21650 €, proche de la moyenne de la strate (22370 € pour la strate).",Nord,59
59078,Beugnies,Frédéric,ERNESTI,07/10/1963,62.0,23.59,34.39,500-1999 hab,22250.0,23000.0,-750.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22250 €, proche de la moyenne de la strate (23000 € pour la strate).",Nord,59
59079,Beuvrages,Ali,BENYAHIA,13/01/1966,60.0,15.01,37.2,5000-9999 hab,17240.0,20460.0,-3220.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 17240 €, plus faible que la moyenne de la strate (20460 € pour la strate).",Nord,59
59080,Beuvry-La-Forêt,Thierry,BRIDAULT,13/05/1949,76.0,19.7,27.06,2000-3499 hab,26270.0,22735.0,3535.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 26270 €, plus élevé que la moyenne de la strate (22735 € pour la strate).",Nord,59
59081,Bévillers,Pierre-Henri,DUDANT,07/06/1970,55.0,16.3,30.95,500-1999 hab,21020.0,23000.0,-1980.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 21020 €, plus faible que la moyenne de la strate (23000 € pour la strate).",Nord,59
59082,Bierne,Jean-Jacques,VERHAEGHE,05/02/1965,61.0,18.63,36.93,500-1999 hab,25380.0,23000.0,2380.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 25380 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59083,Bissezeele,Claudine,DELASSUS,07/06/1965,60.0,10.25,31.15,< 500 hab,25420.0,22370.0,3050.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 25420 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59084,Blaringhem,Régis,DUQUENOY,06/12/1957,68.0,16.22,31.9,2000-3499 hab,21910.0,22735.0,-825.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 21910 €, proche de la moyenne de la strate (22735 € pour la strate).",Nord,59
59085,Blécourt,Jean-Paul,BASSELET,31/01/1950,76.0,20.53,27.48,< 500 hab,23770.0,22370.0,1400.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 23770 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59086,Boeschepe,Luc,VAN INGHELANDT,03/02/1960,66.0,19.41,32.58,2000-3499 hab,24110.0,22735.0,1375.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 24110 €, plus élevé que la moyenne de la strate (22735 € pour la strate).",Nord,59
59087,Boëseghem,Danielle,MAMETZ,04/02/1962,64.0,19.57,28.55,500-1999 hab,21810.0,23000.0,-1190.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 21810 €, plus faible que la moyenne de la strate (23000 € pour la strate).",Nord,59
59088,Bois-Grenier,Michel,DELEPAUL,15/11/1955,70.0,21.67,29.46,500-1999 hab,29050.0,23000.0,6050.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 29050 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59089,Bollezeele,Pierre,MARLE,19/02/1954,72.0,31.54,29.0,500-1999 hab,21320.0,23000.0,-1680.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 21320 €, plus faible que la moyenne de la strate (23000 € pour la strate).",Nord,59
59090,Bondues,Patrick,DELEBARRE,10/01/1948,78.0,24.37,33.54,5000-9999 hab,34880.0,20460.0,14420.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 34880 €, plus élevé que la moyenne de la strate (20460 € pour la strate).",Nord,59
59091,Borre,Bernadette,POPELIER,11/07/1958,67.0,11.89,38.64,500-1999 hab,25740.0,23000.0,2740.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 25740 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59092,Bouchain,Ludovic,ZIENTEK,08/10/1970,55.0,26.8,32.22,3500-4999 hab,20600.0,21515.0,-915.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 20600 €, proche de la moyenne de la strate (21515 € pour la strate).",Nord,59
59093,Boulogne-Sur-Helpe,Nadine,MAJKA,05/03/1955,71.0,19.93,31.56,< 500 hab,21700.0,22370.0,-670.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 21700 €, proche de la moyenne de la strate (22370 € pour la strate).",Nord,59
59094,Bourbourg,Eric,GENS,17/06/1959,66.0,19.55,31.04,5000-9999 hab,19460.0,20460.0,-1000.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 19460 €, proche de la moyenne de la strate (20460 € pour la strate).",Nord,59
59096,Bourghelles,Franck,SARRE,14/08/1965,60.0,16.53,34.65,500-1999 hab,29630.0,23000.0,6630.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 29630 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59097,Boursies,Slimane,RAHEM,15/09/1956,69.0,13.23,54.88,< 500 hab,22590.0,22370.0,220.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22590 €, proche de la moyenne de la strate (22370 € pour la strate).",Nord,59
59098,Bousbecque,Joseph,LEFEBVRE,28/02/1952,74.0,18.07,34.31,3500-4999 hab,24840.0,21515.0,3325.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 24840 €, plus élevé que la moyenne de la strate (21515 € pour la strate).",Nord,59
59099,Bousies,André,DUCARNE,19/11/1944,81.0,17.71,30.96,500-1999 hab,20580.0,23000.0,-2420.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 20580 €, plus faible que la moyenne de la strate (23000 € pour la strate).",Nord,59
59100,Bousignies,Véronique,LEROY,29/07/1969,56.0,13.91,37.39,< 500 hab,28510.0,22370.0,6140.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 28510 €, plus élevé que la moyenne de la strate (22370 € pour la strate).",Nord,59
59101,Bousignies-Sur-Roc,Aurélie,WELONEK,07/04/1985,40.0,11.66,26.42,< 500 hab,21990.0,22370.0,-380.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 21990 €, proche de la moyenne de la strate (22370 € pour la strate).",Nord,59
59102,Boussières-En-Cambrésis,Laurent,LOIGNON,15/02/1966,60.0,27.77,35.44,< 500 hab,20150.0,22370.0,-2220.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 20150 €, plus faible que la moyenne de la strate (22370 € pour la strate).",Nord,59
59103,Boussières-Sur-Sambre,Claude,DUPONT,04/08/1952,73.0,25.05,30.91,500-1999 hab,24430.0,23000.0,1430.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 24430 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59104,Boussois,Jean-Claude,MARET,13/05/1943,82.0,18.94,32.36,2000-3499 hab,19240.0,22735.0,-3495.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 19240 €, plus faible que la moyenne de la strate (22735 € pour la strate).",Nord,59
59105,Bouvignies,Frédéric,PRADALIER,19/09/1959,66.0,23.31,37.86,500-1999 hab,26910.0,23000.0,3910.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 26910 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59106,Bouvines,Philippe,GUILLON,31/08/1956,69.0,15.89,27.78,500-1999 hab,29690.0,23000.0,6690.0,plus élevé que la moyenne de la strate,"La médiane du niveau de vie est de 29690 €, plus élevé que la moyenne de la strate (23000 € pour la strate).",Nord,59
59107,Bray-Dunes,Christine,GILLOOTS,19/03/1961,64.0,34.93,24.46,3500-4999 hab,22410.0,21515.0,895.0,proche de la moyenne de la strate,"La médiane du niveau de vie est de 22410 €, proche de la moyenne de la strate (21515 € pour la strate).",Nord,59
59108,Briastre,Bruno,LECLERCQ,26/04/1962,63.0,21.7,26.15,500-1999 hab,20340.0,23000.0,-2660.0,plus faible que la moyenne de la strate,"La médiane du niveau de vie est de 20340 €, plus faible que la moyenne de la strate (23000 € pour la strate).",Nord,59
