code_insee,nom_commune,dette_par_habitant,dotations,dotations_par_habitant,annee_fin,commentaire_financier,strate,dotations_par_hab_mediane_strate,commentaire_financier_joli
59011,ANNOEULLIN (59),785.75,5472490.0,502.89,2024,situation globalement saine — dette en baisse depuis 2020 — frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,10 000-19 999 hab,561.23,"Dette : en baisse (de 17.4 %), au-dessus de la médiane (+63 € /hab). Épargne brute : en hausse (de 26.3 %) Investissement : en hausse (de 22.9 %) Dotations par habitant : 503 € /hab (au-dessous de la médiane, -58 € /hab)."
59012,ANOR (59),852.39,1099544.0,333.5,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab supérieur à la strate Tendance dette vs strate : évolution proche de la strate.,2000-3499 hab,194.55,"Dette : en baisse (de 13.4 %), au-dessus de la médiane (+405 € /hab). Épargne brute : en hausse (de 34.2 %) Investissement : en baisse (de 59.6 %) Dotations par habitant : 334 € /hab (au-dessus de la médiane, +139 € /hab)."
59013,ANSTAING (59),1133.32,198540.0,122.1,2024,santé financière préoccupante — dette globalement stable depuis 2020 — niveau de dette/hab supérieur à la strate; frais de personnel élevés Tendance dette vs strate : hausse alors que la strate est en baisse.,500-1999 hab,189.055,"Dette : en hausse (de 32.4 %), au-dessus de la médiane (+764 € /hab). Épargne brute : en hausse (de 73.0 %) Investissement : en hausse (de 368.0 %) Dotations par habitant : 122 € /hab (au-dessous de la médiane, -67 € /hab)."
59014,ANZIN (59),763.3,15868433.0,1171.19,2024,santé financière à surveiller — dette globalement stable depuis 2020 — frais de personnel élevés Tendance dette vs strate : hausse alors que la strate est en baisse.,10 000-19 999 hab,561.23,"Dette : en hausse (de 12.6 %), au-dessus de la médiane (+41 € /hab). Épargne brute : en baisse (de 21.7 %) Investissement : en hausse (de 20.8 %) Dotations par habitant : 1 171 € /hab (au-dessus de la médiane, +610 € /hab)."
59015,ARLEUX (59),384.8,1274770.0,378.38,2024,situation globalement saine — dette globalement stable depuis 2020 — investissement élevé; frais de personnel contenus Tendance dette vs strate : hausse alors que la strate est en baisse.,2000-3499 hab,194.55,"Dette : en hausse (de 26.3 %), au-dessous de la médiane (-63 € /hab). Épargne brute : en baisse (de 7.2 %) Investissement : en hausse (de 41.5 %) Dotations par habitant : 378 € /hab (au-dessus de la médiane, +184 € /hab)."
59016,ARMBOUTS-CAPPEL (59),41.69,133139.0,61.38,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; investissement faible; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,2000-3499 hab,194.55,"Dette : en baisse (de 63.5 %), au-dessous de la médiane (-406 € /hab). Épargne brute : en baisse (de 34.8 %) Investissement : en hausse (de 41.2 %) Dotations par habitant : 61 € /hab (au-dessous de la médiane, -133 € /hab)."
59017,ARMENTIERES (59),685.35,14711542.0,565.09,2024,situation globalement saine — dette globalement stable depuis 2020 — investissement faible; frais de personnel élevés Tendance dette vs strate : hausse plus rapide que la strate.,20 000-49 999 hab,531.1,"Dette : en baisse (de 6.4 %), au-dessous de la médiane (-90 € /hab). Épargne brute : en hausse (de 34.0 %) Investissement : en hausse (de 21.6 %) Dotations par habitant : 565 € /hab (au-dessus de la médiane, +34 € /hab)."
59018,ARNEKE (59),540.16,508589.0,321.28,2024,santé financière à surveiller — dette globalement stable depuis 2020 — niveau de dette/hab supérieur à la strate; frais de personnel élevés; pic de dette en 2022 Tendance dette vs strate : hausse alors que la strate est en baisse.,500-1999 hab,189.055,"Dette : en hausse (de 74.6 %), au-dessus de la médiane (+171 € /hab). Épargne brute : en baisse (de 69.1 %) Investissement : en baisse (de 11.8 %) Dotations par habitant : 321 € /hab (au-dessus de la médiane, +132 € /hab)."
59019,ARTRES (59),147.41,197147.0,181.37,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 38.1 %), au-dessous de la médiane (-222 € /hab). Épargne brute : en hausse (de 105.7 %) Investissement : en baisse (de 55.2 %) Dotations par habitant : 181 € /hab (au-dessous de la médiane, -8 € /hab)."
59021,ASSEVENT (59),132.61,39400.0,21.76,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; investissement faible; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 59.3 %), au-dessous de la médiane (-237 € /hab). Épargne brute : en baisse (de 35.6 %) Investissement : en baisse (de 65.6 %) Dotations par habitant : 22 € /hab (au-dessous de la médiane, -167 € /hab)."
59022,ATTICHES (59),351.59,621459.0,273.77,2024,situation globalement saine — dette en baisse depuis 2020 — investissement élevé; frais de personnel contenus Tendance dette vs strate : baisse plus rapide que la strate.,2000-3499 hab,194.55,"Dette : en baisse (de 19.9 %), au-dessous de la médiane (-96 € /hab). Épargne brute : en baisse (de 13.9 %) Investissement : en hausse (de 119.4 %) Dotations par habitant : 274 € /hab (au-dessus de la médiane, +79 € /hab)."
59023,AUBENCHEUL-AU-BAC (59),557.96,61945.0,112.63,2024,santé financière préoccupante — dette en hausse préoccupante depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; pic de dette en 2022 Tendance dette vs strate : hausse alors que la strate est en baisse.,500-1999 hab,189.055,"Dette : en hausse (de 510.7 %), au-dessus de la médiane (+188 € /hab). Épargne brute : en hausse (de 45.6 %) Investissement : en hausse (de 629.9 %) Dotations par habitant : 113 € /hab (au-dessous de la médiane, -76 € /hab)."
59024,AUBERCHICOURT (59),540.49,1601819.0,343.37,2024,santé financière à surveiller — dette globalement stable depuis 2020 — investissement faible; frais de personnel contenus; pic de dette en 2021 Tendance dette vs strate : hausse alors que la strate est en baisse.,3500-4999 hab,249.06,"Dette : en hausse (de 54.6 %), au-dessus de la médiane (+50 € /hab). Épargne brute : en baisse (de 27.0 %) Investissement : en baisse (de 52.7 %) Dotations par habitant : 343 € /hab (au-dessus de la médiane, +94 € /hab)."
59025,AUBERS (59),1.88,245493.0,139.41,2024,situation globalement saine — dette globalement stable depuis 2020 — niveau de dette/hab inférieur à la strate; investissement élevé; frais de personnel contenus; pic de dette en 2023 Tendance dette vs strate : comparaison de tendance non disponible.,500-1999 hab,189.055,"Dette : au niveau de 2 € /hab, au-dessous de la médiane (-368 € /hab). Épargne brute : globalement stable Investissement : en hausse (de 285.1 %) Dotations par habitant : 139 € /hab (au-dessous de la médiane, -50 € /hab)."
59026,AUBIGNY-AU-BAC (59),421.39,217764.0,184.7,2024,santé financière à surveiller — dette en baisse depuis 2020 — frais de personnel élevés Tendance dette vs strate : hausse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 14.6 %), au-dessus de la médiane (+52 € /hab). Épargne brute : en hausse (de 210102.1 %) Investissement : en baisse (de 43.8 %) Dotations par habitant : 185 € /hab (au-dessous de la médiane, -4 € /hab)."
59027,AUBRY-DU-HAINAUT (59),212.83,266491.0,152.8,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; frais de personnel contenus Tendance dette vs strate : baisse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 51.4 %), au-dessous de la médiane (-157 € /hab). Épargne brute : globalement stable Investissement : en hausse (de 217.0 %) Dotations par habitant : 153 € /hab (au-dessous de la médiane, -36 € /hab)."
59028,AUBY (59),1611.35,2157527.0,298.7,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab supérieur à la strate; frais de personnel contenus Tendance dette vs strate : baisse plus rapide que la strate.,5000-9999 hab,298.7,"Dette : en baisse (de 28.0 %), au-dessus de la médiane (+1 033 € /hab). Épargne brute : en hausse (de 6.1 %) Investissement : globalement stable Dotations par habitant : 299 € /hab (proche de la médiane, 0 € /hab)."
59029,AUCHY-LEZ-ORCHIES (59),202.09,386685.0,256.08,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; investissement élevé; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 30.1 %), au-dessous de la médiane (-167 € /hab). Épargne brute : en hausse (de 48.4 %) Investissement : en hausse (de 884.3 %) Dotations par habitant : 256 € /hab (au-dessus de la médiane, +67 € /hab)."
59031,AUDIGNIES (59),619.57,54998.0,145.88,2024,santé financière à surveiller — dette globalement stable depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; frais de personnel contenus; pic de dette en 2021 Tendance dette vs strate : hausse alors que la strate est en baisse.,< 500 hab,176.17,"Dette : en hausse (de 76.7 %), au-dessus de la médiane (+300 € /hab). Épargne brute : en baisse (de 48.3 %) Investissement : en hausse (de 280.1 %) Dotations par habitant : 146 € /hab (au-dessous de la médiane, -30 € /hab)."
59032,AULNOY-LEZ-VALENCIENNES (59),255.33,4495846.0,617.48,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; investissement faible; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,5000-9999 hab,298.7,"Dette : en baisse (de 28.0 %), au-dessous de la médiane (-323 € /hab). Épargne brute : en baisse (de 38.9 %) Investissement : en hausse (de 60.7 %) Dotations par habitant : 617 € /hab (au-dessus de la médiane, +319 € /hab)."
59033,AULNOYE-AYMERIES (59),3138.11,2648186.0,292.49,2024,santé financière à surveiller — dette en baisse depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; frais de personnel contenus Tendance dette vs strate : évolution proche de la strate.,5000-9999 hab,298.7,"Dette : en baisse (de 13.2 %), au-dessus de la médiane (+2 560 € /hab). Épargne brute : en hausse (de 26.9 %) Investissement : en baisse (de 23.3 %) Dotations par habitant : 292 € /hab (au-dessous de la médiane, -6 € /hab)."
59034,AVELIN (59),694.79,73796.0,27.84,2024,situation globalement saine — dette globalement stable depuis 2020 — niveau de dette/hab supérieur à la strate; frais de personnel contenus Tendance dette vs strate : hausse plus rapide que la strate.,2000-3499 hab,194.55,"Dette : globalement stable, au-dessus de la médiane (+247 € /hab). Épargne brute : en hausse (de 21.7 %) Investissement : en hausse (de 98.6 %) Dotations par habitant : 28 € /hab (au-dessous de la médiane, -167 € /hab)."
59035,AVESNELLES (59),1292.13,672703.0,288.34,2024,santé financière préoccupante — dette globalement stable depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; frais de personnel élevés Tendance dette vs strate : hausse alors que la strate est en baisse.,2000-3499 hab,194.55,"Dette : en hausse (de 26.7 %), au-dessus de la médiane (+845 € /hab). Épargne brute : en baisse (de 62.2 %) Investissement : en hausse (de 11.7 %) Dotations par habitant : 288 € /hab (au-dessus de la médiane, +94 € /hab)."
59036,AVESNES-SUR-HELPE (59),1815.46,2311238.0,541.53,2024,santé financière préoccupante — dette globalement stable depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; pic de dette en 2023 Tendance dette vs strate : hausse alors que la strate est en baisse.,3500-4999 hab,249.06,"Dette : en hausse (de 45.1 %), au-dessus de la médiane (+1 325 € /hab). Épargne brute : en baisse (de 63.4 %) Investissement : en hausse (de 149.0 %) Dotations par habitant : 542 € /hab (au-dessus de la médiane, +292 € /hab)."
59037,AVESNES-LES-AUBERT (59),350.67,1880197.0,513.43,2024,situation globalement saine — dette en baisse depuis 2020 — frais de personnel contenus Tendance dette vs strate : évolution proche de la strate.,3500-4999 hab,249.06,"Dette : en baisse (de 15.5 %), au-dessous de la médiane (-139 € /hab). Épargne brute : en baisse (de 25.4 %) Investissement : en hausse (de 14.0 %) Dotations par habitant : 513 € /hab (au-dessus de la médiane, +264 € /hab)."
59038,AVESNES-LE-SEC (59),455.32,146041.0,99.48,2024,situation globalement saine — dette en baisse depuis 2020 — investissement élevé Tendance dette vs strate : baisse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 65.9 %), au-dessus de la médiane (+86 € /hab). Épargne brute : en baisse (de 11.7 %) Investissement : en hausse (de 23.5 %) Dotations par habitant : 99 € /hab (au-dessous de la médiane, -90 € /hab)."
59039,AWOINGT (59),56.63,21568.0,26.43,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; investissement élevé; frais de personnel contenus Tendance dette vs strate : baisse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 63.1 %), au-dessous de la médiane (-313 € /hab). Épargne brute : en baisse (de 55.2 %) Investissement : en hausse (de 374.6 %) Dotations par habitant : 26 € /hab (au-dessous de la médiane, -163 € /hab)."
59041,BACHANT (59),1089.7,524354.0,229.98,2024,santé financière préoccupante — dette en hausse préoccupante depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; frais de personnel élevés Tendance dette vs strate : hausse alors que la strate est en baisse.,2000-3499 hab,194.55,"Dette : en hausse (de 128.1 %), au-dessus de la médiane (+642 € /hab). Épargne brute : en hausse (de 83.6 %) Investissement : en hausse (de 237.3 %) Dotations par habitant : 230 € /hab (au-dessus de la médiane, +35 € /hab)."
59042,BACHY (59),219.0,511620.0,266.47,2024,situation globalement saine — dette en baisse depuis 2020 — investissement élevé Tendance dette vs strate : hausse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 18.0 %), au-dessous de la médiane (-151 € /hab). Épargne brute : en hausse (de 31.7 %) Investissement : en hausse (de 310.8 %) Dotations par habitant : 266 € /hab (au-dessus de la médiane, +77 € /hab)."
59043,BAILLEUL (59),157.72,5582859.0,366.69,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; investissement faible Tendance dette vs strate : baisse plus rapide que la strate.,10 000-19 999 hab,561.23,"Dette : en baisse (de 39.9 %), au-dessous de la médiane (-565 € /hab). Épargne brute : en hausse (de 118.7 %) Investissement : en hausse (de 29.8 %) Dotations par habitant : 367 € /hab (au-dessous de la médiane, -195 € /hab)."
59044,BAISIEUX (59),680.73,1048779.0,200.45,2024,situation globalement saine — dette en baisse depuis 2020 — investissement faible; frais de personnel contenus Tendance dette vs strate : baisse plus rapide que la strate.,5000-9999 hab,298.7,"Dette : en baisse (de 31.6 %), au-dessus de la médiane (+102 € /hab). Épargne brute : en hausse (de 119.0 %) Investissement : en baisse (de 83.6 %) Dotations par habitant : 200 € /hab (au-dessous de la médiane, -98 € /hab)."
59045,BAIVES (59),91.01,58792.0,332.16,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; investissement élevé; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,< 500 hab,176.17,"Dette : en baisse (de 86.9 %), au-dessous de la médiane (-229 € /hab). Épargne brute : en baisse (de 12.5 %) Investissement : en baisse (de 49.8 %) Dotations par habitant : 332 € /hab (au-dessus de la médiane, +156 € /hab)."
59046,BAMBECQUE (59),745.25,157426.0,187.19,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; frais de personnel contenus Tendance dette vs strate : hausse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 17.2 %), au-dessus de la médiane (+376 € /hab). Épargne brute : en hausse (de 48.6 %) Investissement : en hausse (de 467.0 %) Dotations par habitant : 187 € /hab (au-dessous de la médiane, -2 € /hab)."
59047,BANTEUX (59),482.03,21528.0,59.97,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab supérieur à la strate; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,< 500 hab,176.17,"Dette : en baisse (de 44.8 %), au-dessus de la médiane (+162 € /hab). Épargne brute : en baisse (de 608.4 %) Investissement : en hausse (de 201.6 %) Dotations par habitant : 60 € /hab (au-dessous de la médiane, -116 € /hab)."
59048,BANTIGNY (59),544.83,96374.0,187.13,2024,santé financière préoccupante — dette globalement stable depuis 2020 — niveau de dette/hab supérieur à la strate; investissement faible Tendance dette vs strate : hausse alors que la strate est en baisse.,< 500 hab,176.17,"Dette : en hausse (de 6.0 %), au-dessus de la médiane (+225 € /hab). Épargne brute : en baisse (de 99.2 %) Investissement : globalement stable Dotations par habitant : 187 € /hab (au-dessus de la médiane, +11 € /hab)."
59049,BANTOUZELLE (59),293.17,55236.0,122.47,2024,santé financière préoccupante — dette globalement stable depuis 2020 — investissement élevé; frais de personnel élevés; pic de dette en 2022 Tendance dette vs strate : hausse alors que la strate est en baisse.,< 500 hab,176.17,"Dette : en hausse (de 94.6 %), au-dessous de la médiane (-27 € /hab). Épargne brute : en hausse (de 384.2 %) Investissement : en hausse (de 302.4 %) Dotations par habitant : 122 € /hab (au-dessous de la médiane, -54 € /hab)."
59050,BAS-LIEU (59),343.65,32126.0,92.58,2024,situation globalement saine — dette en baisse depuis 2020 — investissement élevé; frais de personnel élevés; pic de dette en 2022 Tendance dette vs strate : baisse plus rapide que la strate.,< 500 hab,176.17,"Dette : en baisse (de 32.9 %), au-dessus de la médiane (+24 € /hab). Épargne brute : en hausse (de 238.6 %) Investissement : en hausse (de 1053.4 %) Dotations par habitant : 93 € /hab (au-dessous de la médiane, -84 € /hab)."
59051,BASSEE (59),507.17,1712789.0,256.14,2024,situation globalement saine — dette globalement stable depuis 2020 — investissement faible; frais de personnel contenus Tendance dette vs strate : évolution proche de la strate.,5000-9999 hab,298.7,"Dette : en baisse (de 7.0 %), au-dessous de la médiane (-71 € /hab). Épargne brute : en baisse (de 44.6 %) Investissement : en baisse (de 44.6 %) Dotations par habitant : 256 € /hab (au-dessous de la médiane, -43 € /hab)."
59052,BAUVIN (59),305.01,1689886.0,334.7,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; investissement faible Tendance dette vs strate : baisse plus rapide que la strate.,5000-9999 hab,298.7,"Dette : en baisse (de 29.2 %), au-dessous de la médiane (-273 € /hab). Épargne brute : en baisse (de 19.5 %) Investissement : en hausse (de 93.2 %) Dotations par habitant : 335 € /hab (au-dessus de la médiane, +36 € /hab)."
59053,BAVAY (59),677.57,1124571.0,339.24,2024,santé financière à surveiller — dette globalement stable depuis 2020 — niveau de dette/hab supérieur à la strate; pic de dette en 2021 Tendance dette vs strate : hausse alors que la strate est en baisse.,2000-3499 hab,194.55,"Dette : en hausse (de 61.2 %), au-dessus de la médiane (+230 € /hab). Épargne brute : en baisse (de 70.8 %) Investissement : en hausse (de 57.5 %) Dotations par habitant : 339 € /hab (au-dessus de la médiane, +145 € /hab)."
59054,BAVINCHOVE (59),345.25,260533.0,246.02,2024,situation globalement saine — dette en baisse depuis 2020 — investissement faible; frais de personnel élevés Tendance dette vs strate : évolution proche de la strate.,500-1999 hab,189.055,"Dette : en baisse (de 22.5 %), au-dessous de la médiane (-24 € /hab). Épargne brute : en baisse (de 6.0 %) Investissement : en baisse (de 7.1 %) Dotations par habitant : 246 € /hab (au-dessus de la médiane, +57 € /hab)."
59055,BAZUEL (59),336.59,155984.0,285.16,2024,situation globalement saine — dette en baisse depuis 2020 — frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 39.5 %), au-dessous de la médiane (-33 € /hab). Épargne brute : en hausse (de 250.0 %) Investissement : en hausse (de 275.9 %) Dotations par habitant : 285 € /hab (au-dessus de la médiane, +96 € /hab)."
59056,BEAUCAMPS-LIGNY (59),0.0,127794.0,147.06,2024,situation globalement saine — dette globalement stable depuis 2020 — niveau de dette/hab inférieur à la strate; investissement faible; frais de personnel contenus Tendance dette vs strate : comparaison de tendance non disponible.,500-1999 hab,189.055,"Dette : en baisse (de 100.0 %), au-dessous de la médiane (-370 € /hab). Épargne brute : en hausse (de 190.2 %) Investissement : en baisse (de 81.4 %) Dotations par habitant : 147 € /hab (au-dessous de la médiane, -42 € /hab)."
59057,BEAUDIGNIES (59),184.63,154453.0,267.22,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab inférieur à la strate; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,500-1999 hab,189.055,"Dette : en baisse (de 32.1 %), au-dessous de la médiane (-185 € /hab). Épargne brute : en hausse (de 11.7 %) Investissement : en hausse (de 20.4 %) Dotations par habitant : 267 € /hab (au-dessus de la médiane, +78 € /hab)."
59058,BEAUFORT (59),1152.32,152175.0,146.32,2024,santé financière préoccupante — dette en hausse préoccupante depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; frais de personnel contenus; pic de dette en 2022 Tendance dette vs strate : hausse alors que la strate est en baisse.,500-1999 hab,189.055,"Dette : en hausse (de 143.0 %), au-dessus de la médiane (+783 € /hab). Épargne brute : en hausse (de 128.3 %) Investissement : en hausse (de 1061.1 %) Dotations par habitant : 146 € /hab (au-dessous de la médiane, -43 € /hab)."
59059,BEAUMONT-EN-CAMBRESIS (59),615.74,136112.0,293.98,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; frais de personnel élevés Tendance dette vs strate : évolution proche de la strate.,< 500 hab,176.17,"Dette : en baisse (de 30.3 %), au-dessus de la médiane (+296 € /hab). Épargne brute : en hausse (de 148.7 %) Investissement : en hausse (de 137.6 %) Dotations par habitant : 294 € /hab (au-dessus de la médiane, +118 € /hab)."
59060,BEAURAIN (59),561.61,65510.0,272.96,2024,situation globalement saine — dette en baisse depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; frais de personnel contenus Tendance dette vs strate : baisse plus rapide que la strate.,< 500 hab,176.17,"Dette : en baisse (de 50.9 %), au-dessus de la médiane (+242 € /hab). Épargne brute : en baisse (de 39.7 %) Investissement : en baisse (de 51.3 %) Dotations par habitant : 273 € /hab (au-dessus de la médiane, +97 € /hab)."
59061,BEAUREPAIRE-SUR-SAMBRE (59),198.92,95986.0,334.45,2024,santé financière à surveiller — dette en baisse depuis 2020 — investissement faible; frais de personnel élevés Tendance dette vs strate : baisse plus rapide que la strate.,< 500 hab,176.17,"Dette : en baisse (de 51.1 %), au-dessous de la médiane (-121 € /hab). Épargne brute : en baisse (de 61.1 %) Investissement : en baisse (de 24.7 %) Dotations par habitant : 334 € /hab (au-dessus de la médiane, +158 € /hab)."
59062,BEAURIEUX (59),842.31,71363.0,405.47,2024,santé financière préoccupante — dette en hausse préoccupante depuis 2020 — niveau de dette/hab supérieur à la strate; investissement élevé; pic de dette en 2022 Tendance dette vs strate : hausse alors que la strate est en baisse.,< 500 hab,176.17,"Dette : en hausse (de 10149.1 %), au-dessus de la médiane (+522 € /hab). Épargne brute : en baisse (de 10.7 %) Investissement : en hausse (de 979.2 %) Dotations par habitant : 405 € /hab (au-dessus de la médiane, +229 € /hab)."
